sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1747516900.7492461,10372.663243,10.12389087677002,26.164464950561523,26.228761672973633,5.448757648468018,12.023942947387695,4.960837364196777,44.77481460571289,-2.1470115184783936
1747516900.7494888,10372.6632498,3.1529579162597656,20.992046356201172,24.40118980407715,2.564610004425049,5.746890544891357,1.7378206253051758,36.465171813964844,-3.43941593170166
1747516900.7496388,10372.6632533,14.155999183654785,30.377212524414062,36.14528274536133,5.992280960083008,4.234106540679932,2.2360284328460693,23.237775802612305,-3.2326011657714844
1747516900.7546751,10372.6632567,3.95180344581604,19.697006225585938,33.54540252685547,6.446167945861816,0.42059916257858276,1.112674355506897,8.998543739318848,-1.1038897037506104
1747516900.7549846,10372.66326,1.3537229299545288,9.619451522827148,23.979677200317383,1.0276161432266235,-8.789125442504883,-5.360485076904297,-20.07532501220703,-8.878467559814453
1747516900.7552037,10372.6632634,-5.586065292358398,-0.3646600842475891,15.408049583435059,-3.579275369644165,-14.284875869750977,-10.570219993591309,-35.05061721801758,-11.377450942993164
1747516900.7552996,10372.6670322,-11.313944816589355,-8.178699493408203,9.887225151062012,-1.5160613059997559,-11.799919128417969,-9.246232032775879,-38.70219039916992,-5.608613014221191
1747516900.7555053,10372.6670394,0.40404120087623596,-1.1167442798614502,18.938997268676758,6.824720859527588,-4.532707214355469,-4.815493583679199,-39.52389144897461,2.3963468074798584
1747516900.755713,10372.6670428,-11.149465560913086,-15.618953704833984,8.355267524719238,3.5914602279663086,-8.77437686920166,-9.219545364379883,-54.68278121948242,0.10673787444829941
1747516900.755958,10372.6670459,-10.471845626831055,-21.943445205688477,-6.311819553375244,-4.815924644470215,-19.452678680419922,-17.848838806152344,-90.48893737792969,-16.08120346069336
1747516900.7560515,10372.6670492,-14.71134090423584,-23.59123992919922,-16.5311279296875,-8.02632999420166,-23.17212677001953,-20.43438148498535,-104.13497924804688,-22.410627365112305
1747516900.7922807,10372.7054681,-25.198732376098633,-28.51174545288086,-26.649477005004883,-7.758131980895996,-20.740909576416016,-16.833908081054688,-100.01548767089844,-19.096349716186523
1747516900.7924953,10372.7054777,-17.790027618408203,-20.971641540527344,-19.606130599975586,-4.209618091583252,-14.831729888916016,-12.19843578338623,-92.33902740478516,-13.683932304382324
1747516900.7926116,10372.7054978,-25.92290687561035,-30.609777450561523,-22.61292266845703,-7.441717147827148,-15.596475601196289,-14.897029876708984,-97.69385528564453,-13.859015464782715
1747516900.7984056,10372.7107728,-17.36164093017578,-30.29502296447754,-25.425514221191406,-9.806763648986816,-17.371912002563477,-18.36399269104004,-122.7776107788086,-21.58279037475586
1747516900.7986758,10372.7108424,-14.400838851928711,-27.790321350097656,-26.79496955871582,-7.392704486846924,-14.198689460754395,-16.93610191345215,-128.47073364257812,-19.120742797851562
1747516900.7990246,10372.710867,-19.827701568603516,-29.402862548828125,-30.7799072265625,-4.015839099884033,-11.289677619934082,-13.722502708435059,-117.30122375488281,-10.961319923400879
1747516900.799159,10372.7108932,-6.895694732666016,-15.826530456542969,-16.714326858520508,4.15206241607666,-6.908529758453369,-8.832854270935059,-99.0964584350586,-1.684277892112732
1747516900.802203,10372.7143345,-12.438162803649902,-21.584331512451172,-15.826809883117676,3.033890962600708,-11.170872688293457,-10.44403076171875,-96.97455596923828,-0.8616294860839844
1747516900.802391,10372.7143415,-7.595649719238281,-23.80223274230957,-21.55295181274414,-3.653984308242798,-20.123287200927734,-15.459054946899414,-123.6097183227539,-13.431746482849121
1747516900.8026123,10372.7143454,-7.670746326446533,-24.694730758666992,-26.485763549804688,-4.314526557922363,-20.938663482666016,-14.592838287353516,-132.12110900878906,-16.110824584960938
1747516900.8029108,10372.714349,-12.927599906921387,-28.933292388916016,-32.54752731323242,-0.17654848098754883,-16.353981018066406,-9.85341739654541,-119.35295867919922,-11.027779579162598
1747516900.8068733,10372.7182978,2.0640811920166016,-16.3853816986084,-19.309633255004883,9.739277839660645,-6.7805633544921875,-1.43140709400177,-94.84009552001953,-2.1592578887939453
1747516900.8070676,10372.7183063,1.2918552160263062,-18.7487735748291,-15.695905685424805,11.46091365814209,-2.901130199432373,2.7840960025787354,-81.64575958251953,3.4078116416931152
1747516900.8384516,10372.7502939,10.130975723266602,-17.84786605834961,-18.793466567993164,5.3594207763671875,-6.240441799163818,-0.8005092144012451,-99.68099212646484,-4.7163777351379395
1747516900.8386574,10372.7503016,10.674245834350586,-19.446088790893555,-23.964859008789062,1.0611664056777954,-7.639667510986328,-6.194969654083252,-107.05657196044922,-8.545507431030273
1747516900.838762,10372.7503053,4.766609191894531,-24.402965545654297,-29.111125946044922,1.78871488571167,-4.480835914611816,-9.052084922790527,-95.05467987060547,-5.350953578948975
1747516900.8388972,10372.7503087,16.061500549316406,-12.91463565826416,-15.122578620910645,7.706743240356445,3.7051446437835693,-7.447429180145264,-72.22356414794922,1.4035505056381226
1747516900.8390012,10372.7503124,6.759077072143555,-18.66044044494629,-14.712530136108398,2.1884608268737793,2.2714900970458984,-11.201332092285156,-64.3099136352539,-0.0678093433380127
1747516900.8443112,10372.7562961,6.789295673370361,-19.389389038085938,-20.770370483398438,-9.06181812286377,-7.330853462219238,-20.35984230041504,-87.38788604736328,-16.166587829589844
1747516900.844501,10372.7563223,2.7759642601013184,-18.962961196899414,-24.153675079345703,-11.291211128234863,-10.755903244018555,-23.381563186645508,-94.46200561523438,-20.615129470825195
1747516900.8445897,10372.7563296,-4.144681930541992,-23.38018035888672,-26.334823608398438,-4.4102630615234375,-6.83999490737915,-17.202388763427734,-77.18643188476562,-10.704357147216797
1747516900.8762274,10372.7893125,5.069503307342529,-17.283597946166992,-14.205426216125488,4.140523910522461,-0.7694869041442871,-9.951281547546387,-50.069095611572266,1.685595154762268
1747516900.8765452,10372.7893657,-7.240469455718994,-30.265703201293945,-18.684062957763672,-3.4360272884368896,-7.994903564453125,-15.135473251342773,-43.369869232177734,0.5709053874015808
1747516900.8768163,10372.789371,-7.707596302032471,-35.17879867553711,-28.23293685913086,-17.656156539916992,-24.383691787719727,-26.5605411529541,-72.51805114746094,-18.674224853515625
1747516900.877043,10372.7893741,-9.53289794921875,-35.4209098815918,-32.82049560546875,-22.337167739868164,-32.635284423828125,-29.709056854248047,-87.4937973022461,-27.067256927490234
1747516900.8771923,10372.7893771,-13.43880558013916,-37.39091491699219,-34.463134765625,-17.166423797607422,-29.990392684936523,-24.5937442779541,-80.12093353271484,-20.841596603393555
1747516900.8803556,10372.7933273,0.20502911508083344,-25.468616485595703,-19.474220275878906,-6.007226943969727,-21.027799606323242,-17.928550720214844,-61.58959197998047,-9.160565376281738
1747516900.880655,10372.7933676,-2.2039151191711426,-27.146663665771484,-15.642581939697266,-1.2150379419326782,-15.931510925292969,-13.797446250915527,-48.41445541381836,1.2905975580215454
1747516900.880798,10372.7933829,7.5634379386901855,-22.072179794311523,-16.56966209411621,-1.3389294147491455,-15.180508613586426,-10.652640342712402,-59.471656799316406,1.10759699344635
1747516900.8841646,10372.7972795,3.087876558303833,-27.798919677734375,-24.726991653442383,-6.0486650466918945,-19.569116592407227,-12.407339096069336,-68.58541107177734,-1.5638024806976318
1747516900.8844826,10372.7972861,-11.193511009216309,-44.25077819824219,-36.9673957824707,-8.428229331970215,-23.587013244628906,-13.903421401977539,-66.2234115600586,-0.48118212819099426
1747516900.884685,10372.7972894,-2.384946823120117,-38.87458801269531,-26.815776824951172,0.45697852969169617,-16.50056266784668,-6.9354166984558105,-46.893333435058594,9.380813598632812
1747516900.8922021,10372.8052728,-10.667952537536621,-44.06729507446289,-28.358440399169922,0.7089683413505554,-14.170198440551758,-4.26447057723999,-32.338478088378906,13.801856994628906
1747516900.9193234,10372.8312975,-6.4585394859313965,-40.81206512451172,-33.94303894042969,-3.7774252891540527,-16.811494827270508,-5.213037014007568,-41.77352523803711,6.018655300140381
