timestamp,key
1747517078.5783558,space_press
1747517078.7198913,space_release
1747517080.4366348,space_press
1747517080.573114,space_release
1747517083.773053,space_press
1747517083.8916469,space_release
1747517086.7218986,space_press
1747517086.8436153,space_release
1747517090.084578,space_press
1747517090.17985,space_release
1747517092.8755322,space_press
1747517093.0026195,space_release
1747517096.0414832,space_press
1747517096.1499324,space_release
1747517098.8407571,space_press
1747517098.9584413,space_release
1747517101.3182967,space_press
1747517101.4173808,space_release
1747517103.1233935,space_press
1747517103.231587,space_release
1747517105.2903018,space_press
1747517105.4031003,space_release
1747517107.570265,space_press
1747517107.678747,space_release
1747517109.6059475,space_press
1747517109.7198937,space_release
1747517112.0133502,space_press
1747517112.1320555,space_release
1747517114.1893039,space_press
1747517114.2985425,space_release
1747517116.5100682,space_press
1747517116.633098,space_release
1747517119.0526452,space_press
1747517119.184961,space_release
1747517121.3671753,space_press
1747517121.4760091,space_release
1747517123.7231836,space_press
1747517123.8461494,space_release
1747517125.9884977,space_press
1747517126.109182,space_release
1747517128.8395789,space_press
1747517128.948149,space_release
1747517131.2343996,space_press
1747517131.362176,space_release
1747517133.6669106,space_press
1747517133.7763824,space_release
1747517136.293764,space_press
1747517136.408311,space_release
1747517138.7353501,space_press
1747517138.8493779,space_release
1747517141.4928825,space_press
1747517141.6060941,space_release
1747517144.4452415,space_press
1747517144.5673075,space_release
1747517146.9896975,space_press
1747517147.109083,space_release
1747517149.6347957,space_press
1747517149.7395165,space_release
1747517151.9079592,space_press
1747517152.040142,space_release
1747517154.358022,space_press
1747517154.475879,space_release
1747517156.4355636,space_press
1747517156.5437827,space_release
1747517157.4692729,space_press
1747517157.5832481,space_release
1747517158.470078,space_press
1747517158.5741668,space_release
1747517159.4925642,space_press
1747517159.592173,space_release
1747517160.5133088,space_press
1747517160.627064,space_release
1747517161.5537622,space_press
1747517161.6603067,space_release
1747517162.638476,space_press
1747517162.7480516,space_release
1747517163.5799708,space_press
1747517163.6842763,space_release
1747517164.6590254,space_press
1747517164.7775278,space_release
1747517167.211047,space_press
1747517167.3192253,space_release
1747517168.759418,space_press
1747517168.869404,space_release
1747517170.5122354,space_press
1747517170.617771,space_release
1747517171.3773575,space_press
1747517171.4862885,space_release
1747517172.2776294,space_press
1747517172.390955,space_release
1747517173.1861243,space_press
1747517173.2944682,space_release
1747517174.0258012,space_press
1747517174.1377783,space_release
1747517174.886392,space_press
1747517175.0009282,space_release
1747517175.9663248,space_press
1747517176.075575,space_release
1747517176.9560745,space_press
1747517177.0689418,space_release
1747517181.0112557,space_press
1747517181.1303759,space_release
1747517183.1433332,space_press
1747517183.261141,space_release
1747517185.2883277,space_press
1747517185.396495,space_release
1747517187.8000145,space_press
1747517187.9321954,space_release
1747517189.8828077,space_press
1747517190.00056,space_release
1747517191.8635325,space_press
1747517191.9818244,space_release
1747517194.6217864,space_press
1747517194.7389023,space_release
1747517196.9346514,space_press
1747517197.0578096,space_release
1747517199.0446122,space_press
1747517199.1683934,space_release
1747517201.6309452,space_press
1747517201.748369,space_release
1747517205.1036255,space_press
1747517205.230584,space_release
1747517207.6898334,space_press
1747517207.8177397,space_release
1747517210.2358127,space_press
1747517210.3686385,space_release
1747517212.7921474,space_press
1747517212.8994622,space_release
1747517216.1877427,space_press
1747517216.310396,space_release
1747517217.5828311,space_press
1747517217.7297149,space_release
1747517220.1210482,space_press
1747517220.2482924,space_release
1747517222.0309963,space_press
1747517222.1637092,space_release
1747517224.8865693,space_press
1747517225.007668,space_release
1747517226.3204906,space_press
1747517226.4382021,space_release
1747517227.9077685,space_press
1747517228.027471,space_release
1747517229.2324612,space_press
1747517229.3740385,space_release
1747517230.8692615,space_press
1747517230.997741,space_release
1747517232.4968574,space_press
1747517232.6171618,space_release
1747517234.0617034,space_press
1747517234.1884828,space_release
1747517238.533472,ctrl_l_press
1747517238.6879077,'\x03'_press
