sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1747516900.7472072,10372.6592002,272040.0625,274187.875,329999.75,318689.40625,263185.375,265301.375,262241.21875,268404.40625
1747516900.7475717,10372.6592367,271530.625,273199.3125,328862.75,318233.15625,262714.71875,265011.3125,260825.203125,267779.71875
1747516900.7477407,10372.6592424,272193.75,273724.65625,328512.1875,318037.4375,262458.5625,264910.28125,259282.578125,267168.90625
1747516900.7478817,10372.659246,273517.9375,275346.0625,329629.9375,318417.78125,262791.15625,265150.8125,259610.96875,267346.46875
1747516900.75443,10372.6592498,273366.6875,275620.1875,330586.96875,318834.40625,263255.71875,265400.5,261525.53125,268161.84375
1747516900.7545972,10372.659253,272035.75,274177.78125,330000.375,318683.5,263174.1875,265296.09375,262189.1875,268404.15625
1747516900.7548385,10372.664696,271520.0625,273177.40625,328856.125,318232.0,262709.09375,265007.46875,260775.9375,267787.3125
1747516900.7551012,10372.664726,272168.1875,273683.1875,328480.625,318020.90625,262441.40625,264893.03125,259212.5625,267159.96875
1747516900.7554076,10372.6647476,273503.46875,275312.15625,329595.625,318403.84375,262774.71875,265135.15625,259529.78125,267331.34375
1747516900.7556164,10372.664767,273360.875,275604.4375,330559.78125,318827.0,263246.25,265390.5,261451.765625,268147.53125
1747516900.7558231,10372.6647886,272018.6875,274160.0625,329963.625,318670.34375,263161.125,265286.78125,262120.265625,268386.875
1747516900.7882752,10372.7013015,271493.78125,273152.28125,328811.4375,318208.75,262692.28125,264995.6875,260705.21875,267763.28125
1747516900.7884874,10372.7013095,272145.375,273659.03125,328441.46875,317999.28125,262426.375,264880.0625,259143.09375,267137.15625
1747516900.788555,10372.7013126,273487.5625,275293.75,329565.40625,318391.5,262772.5,265129.78125,259469.171875,267317.9375
1747516900.7941694,10372.7073197,273359.53125,275595.875,330540.03125,318821.375,263251.625,265391.65625,261396.25,268144.78125
1747516900.7943351,10372.7073449,272018.59375,274156.3125,329950.5625,318662.40625,263163.71875,265283.375,262070.1875,268384.90625
1747516900.794418,10372.7073588,271496.09375,273151.28125,328803.5625,318207.75,262692.09375,264992.28125,260666.953125,267767.46875
1747516900.794566,10372.7073712,272152.34375,273660.1875,328437.96875,318004.375,262428.34375,264883.125,259110.46875,267145.8125
1747516900.798254,10372.7108289,273481.21875,275280.0625,329545.71875,318381.21875,262755.125,265120.21875,259417.390625,267310.5
1747516900.798553,10372.7108593,273365.0625,275595.78125,330529.9375,318817.96875,263241.25,265391.84375,261348.234375,268141.1875
1747516900.7988133,10372.7108859,272023.78125,274153.375,329938.9375,318660.53125,263153.96875,265282.84375,262027.8125,268378.40625
1747516900.7989247,10372.710931,271498.875,273142.8125,328788.53125,318205.625,262686.65625,264994.875,260631.359375,267760.21875
1747516900.8024836,10372.7143409,272159.21875,273651.875,328423.59375,318006.40625,262430.0625,264893.9375,259084.71875,267144.84375
1747516900.8027742,10372.714347,273495.875,275276.3125,329534.28125,318385.3125,262765.25,265133.28125,259396.296875,267315.625
1747516900.834309,10372.7467943,273380.8125,275590.125,330513.5625,318812.5,263243.3125,265391.9375,261317.296875,268135.90625
