sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1747520194.006898,13665.9198573,272512.84375,254242.796875,347420.25,315727.625,251242.375,260809.015625,244552.5,252745.671875
1747520194.011899,13665.9238598,273249.28125,258044.734375,349418.65625,316349.53125,252258.484375,261708.1875,250471.515625,253789.59375
1747520194.012244,13665.9238836,272991.25,259195.21875,349874.09375,316347.46875,252307.9375,261835.140625,252874.0625,254068.796875
1747520194.012731,13665.9238894,271677.96875,255692.703125,347665.84375,315394.65625,251140.09375,260894.140625,247832.484375,252887.734375
1747520194.0136547,13665.9238924,271440.59375,252540.84375,346039.34375,315045.4375,250504.421875,260270.078125,242625.78125,252060.8125
1747520194.0162218,13665.9279002,272512.125,254235.375,347403.53125,315732.34375,251250.421875,260809.90625,244517.015625,252751.125
1747520194.0166152,13665.9279067,273248.84375,258042.234375,349403.8125,316352.125,252264.578125,261709.703125,250450.765625,253790.65625
1747520194.0168757,13665.92791,272989.1875,259201.921875,349861.9375,316346.3125,252310.171875,261831.203125,252882.28125,254067.015625
1747520194.0170727,13665.9279132,271675.46875,255712.640625,347663.625,315394.125,251142.875,260892.078125,247859.40625,252890.421875
1747520194.0199056,13665.9318499,271428.40625,252538.609375,346020.9375,315032.03125,250494.484375,260260.5,242609.0625,252052.859375
1747520194.0468566,13665.9598091,272503.8125,254212.921875,347376.34375,315717.78125,251238.984375,260798.109375,244462.109375,252742.71875
1747520194.0507452,13665.9638223,273249.71875,258025.234375,349386.75,316345.40625,252263.953125,261706.578125,250404.015625,253790.03125
1747520194.0509284,13665.96383,272996.71875,259205.5,349858.1875,316344.4375,252319.640625,261839.875,252876.828125,254073.984375
1747520194.0510051,13665.9638347,271684.5625,255729.8125,347664.15625,315394.03125,251153.421875,260905.84375,247870.84375,252902.21875
1747520194.0513017,13665.9638383,271424.03125,252540.390625,346006.1875,315021.5625,250494.046875,260267.296875,242592.875,252054.46875
1747520194.0549634,13665.9678094,272486.1875,254184.59375,347342.0,315695.4375,251221.109375,260788.0,244409.90625,252727.703125
1747520194.0553539,13665.9678168,273235.15625,257992.078125,349348.65625,316323.78125,252245.625,261694.59375,250370.484375,253778.140625
1747520194.0555294,13665.9678203,272999.5625,259210.515625,349843.875,316339.4375,252317.59375,261842.109375,252902.9375,254077.921875
1747520194.0599878,13665.9718797,271686.90625,255752.609375,347660.125,315389.3125,251154.140625,260905.578125,247907.953125,252906.609375
1747520194.0917654,13666.0048874,271410.28125,252536.09375,345979.53125,315007.875,250488.6875,260262.734375,242582.6875,252049.546875
1747520194.0921063,13666.0049168,272477.34375,254163.578125,347310.375,315684.15625,251217.4375,260785.59375,244371.90625,252721.4375
1747520194.092206,13666.0049305,273222.8125,257970.078125,349317.0,316305.0,252234.796875,261687.078125,250334.71875,253761.0625
1747520194.0922837,13666.0049371,272981.25,259199.515625,349814.28125,316313.0625,252304.09375,261829.328125,252892.03125,254057.546875
1747520194.0923498,13666.00494,271677.34375,255769.140625,347650.1875,315374.90625,251151.453125,260900.578125,247930.390625,252899.546875
1747520194.092431,13666.0049428,271397.21875,252538.609375,345961.3125,314994.75,250485.375,260253.359375,242568.734375,252040.078125
1747520194.0925238,13666.0049461,272462.3125,254129.875,347277.09375,315669.15625,251202.953125,260763.421875,244317.90625,252705.34375
1747520194.0979898,13666.0108657,273220.6875,257945.140625,349294.5625,316299.09375,252225.953125,261669.296875,250311.75,253753.734375
1747520194.098258,13666.0108761,272993.9375,259205.140625,349811.34375,316318.9375,252306.140625,261823.96875,252928.5,254064.78125
1747520194.0984,13666.01088,271691.1875,255781.9375,347651.375,315383.03125,251155.390625,260898.25,247974.828125,252907.140625
1747520194.1030965,13666.0148982,271401.25,252527.15625,345947.71875,314995.1875,250481.625,260251.75,242567.21875,252040.78125
1747520194.1331139,13666.0450655,272461.15625,254099.375,347255.75,315665.9375,251195.796875,260765.5625,244274.265625,252701.140625
1747520194.1334608,13666.0450779,273222.65625,257919.203125,349277.0625,316301.6875,252228.546875,261678.140625,250278.125,253754.53125
1747520194.1335807,13666.0450815,273008.5,259216.140625,349815.625,316332.53125,252326.890625,261846.3125,252944.328125,254078.90625
1747520194.1336725,13666.0450846,271707.46875,255816.078125,347670.5,315398.875,251182.03125,260927.921875,248007.375,252929.671875
1747520194.1339095,13666.0450877,271404.625,252546.203125,345951.09375,315004.9375,250504.234375,260276.0625,242554.703125,252053.03125
1747520194.138181,13666.0510702,272471.4375,254109.578125,347253.78125,315680.0625,251220.921875,260788.359375,244252.90625,252716.609375
1747520194.138365,13666.0510903,273233.90625,257928.953125,349271.9375,316310.625,252246.15625,261693.515625,250265.4375,253765.171875
1747520194.1384473,13666.0510965,273017.0,259236.34375,349810.90625,316336.75,252339.671875,261854.546875,252968.921875,254083.921875
1747520194.141979,13666.0551434,271719.875,255854.796875,347674.53125,315403.96875,251194.640625,260935.625,248073.625,252937.8125
1747520194.142271,13666.0551839,271398.375,252549.0625,345930.46875,314990.46875,250496.28125,260266.765625,242588.953125,252042.21875
1747520194.1460366,13666.0590667,272455.09375,254072.015625,347213.28125,315654.75,251195.796875,260761.90625,244243.515625,252690.859375
1747520194.1463335,13666.0590724,273228.90625,257905.265625,349249.96875,316300.0,252234.625,261680.640625,250290.640625,253755.703125
1747520194.1741166,13666.0860814,273024.6875,259252.4375,349815.1875,316340.6875,252346.203125,261864.921875,253050.28125,254098.3125
1747520194.1744368,13666.0860909,271717.375,255876.171875,347678.1875,315400.375,251192.40625,260938.921875,248154.0,252947.28125
1747520194.1782622,13666.0901249,271387.65625,252563.90625,345923.03125,314981.15625,250489.03125,260264.34375,242642.40625,252049.015625
1747520194.1785355,13666.0901623,272440.34375,254066.84375,347193.5,315640.1875,251180.953125,260753.671875,244250.84375,252687.015625
1747520194.1786716,13666.090168,273216.125,257897.921875,349225.625,316278.1875,252214.140625,261671.265625,250275.265625,253740.234375
1747520194.1812055,13666.0940619,273011.625,259253.78125,349795.78125,316316.8125,252325.09375,261849.453125,253050.28125,254078.015625
