sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1747292634.1142428,491523.4037519,197560.015625,198498.078125,350718.375,319471.4375,221184.640625,196228.75,197888.140625,198814.84375
1747292634.114419,491523.4038424,197441.28125,198428.875,350351.0,319431.84375,220819.875,195981.984375,197720.953125,198731.875
1747292634.1145666,491523.4038449,197484.28125,198437.546875,350395.25,319491.03125,221011.46875,196074.96875,197865.25,198898.609375
1747292634.1146986,491523.4038462,197526.9375,198461.6875,350522.75,319495.125,221140.390625,196157.21875,197908.703125,198916.9375
1747292634.1149528,491523.4038476,197587.109375,198502.8125,350730.28125,319485.5625,221270.203125,196277.65625,197954.03125,198882.34375
1747292634.1149879,491523.403849,197562.515625,198493.515625,350704.59375,319457.6875,221182.59375,196223.203125,197881.609375,198810.109375
1747292634.1150146,491523.4038505,197442.359375,198425.75,350337.78125,319415.21875,220817.1875,195975.453125,197711.109375,198724.1875
1747292634.1150405,491523.4038518,197489.65625,198439.78125,350383.375,319481.71875,221012.8125,196069.15625,197858.453125,198894.59375
1747292634.115066,491523.4038532,197532.390625,198467.234375,350510.78125,319487.625,221146.828125,196158.375,197908.078125,198918.109375
1747292634.115091,491523.4038543,197592.46875,198509.78125,350719.4375,319479.59375,221278.890625,196281.5,197956.453125,198885.296875
1747292634.115117,491523.4038563,197561.796875,198496.203125,350694.15625,319444.8125,221190.109375,196225.890625,197880.453125,198808.578125
1747292634.1461422,491523.4360344,197439.5,198427.625,350324.53125,319401.625,220824.78125,195977.421875,197709.765625,198723.828125
1747292634.14629,491523.4360583,197487.859375,198443.359375,350369.6875,319470.28125,221017.546875,196072.640625,197857.203125,198896.734375
1747292634.1463711,491523.4360632,197534.53125,198471.96875,350498.625,319476.0,221151.65625,196165.265625,197910.484375,198919.890625
1747292634.1464565,491523.4360647,197598.109375,198517.828125,350707.1875,319470.625,221283.53125,196290.078125,197962.796875,198891.28125
1747292634.1465225,491523.4360661,197571.734375,198506.03125,350686.8125,319439.53125,221199.484375,196237.5,197891.0,198816.625
1747292634.1465962,491523.4360674,197445.3125,198433.25,350315.34375,319390.4375,220828.625,195985.734375,197715.859375,198724.8125
1747292634.146671,491523.4360687,197492.875,198445.953125,350355.65625,319455.0,221016.109375,196074.96875,197863.546875,198896.03125
