sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,stimulus
1747292634.0984745,491523.3876239,-1.9247939586639404,-11.014789581298828,-4.147918224334717,0.6726077795028687,-10.358623504638672,-8.873269081115723,-9.673815727233888,-1.999504327774048,0
1747292634.09897,491523.3876583,-2.9552736282348637,-11.015372276306152,-4.494925022125244,-0.1255207061767578,-9.964606285095217,-9.136801719665527,-8.9782133102417,-2.6998114585876465,0
1747292634.099028,491523.3876702,-4.240970611572266,-10.984578132629396,-5.241208076477051,-1.8660588264465328,-10.153332710266112,-10.059865951538086,-8.912936210632324,-3.2844793796539307,0
1747292634.0998132,491523.3876898,-5.448148727416992,-10.839451789855955,-6.089978218078613,-4.254702568054199,-10.91171169281006,-11.395829200744627,-9.524505615234377,-3.828934669494629,0
1747292634.09985,491523.3877059,-6.258850574493408,-10.378079414367676,-6.667747497558594,-6.687178134918213,-11.944998741149902,-12.678958892822266,-10.616201400756836,-4.474884986877441,0
1747292634.0998795,491523.3877309,-6.489482402801514,-9.41702938079834,-6.73379373550415,-8.542295455932617,-12.905875205993652,-13.494392395019531,-11.892448425292969,-5.354119300842285,0
1747292634.0999072,491523.3877419,-6.163188934326172,-7.944744110107422,-6.278536796569824,-9.482114791870115,-13.619392395019531,-13.716567039489746,-13.105775833129885,-6.519479274749756,0
1747292634.0999346,491523.387753,-5.460366249084473,-6.145660400390625,-5.4539103507995605,-9.515289306640623,-14.11991024017334,-13.5286865234375,-14.082688331604004,-7.912223815917969,0
1747292634.0999618,491523.3877627,-4.5878753662109375,-4.284788608551025,-4.442838668823242,-8.867196083068848,-14.527358055114746,-13.242361068725586,-14.685285568237305,-9.366024017333984,0
1747292634.1305573,491523.4198605,-3.704172134399414,-2.58133864402771,-3.4057345390319824,-7.8710479736328125,-14.909774780273438,-13.102030754089355,-14.814142227172852,-10.626310348510742,0
1747292634.1306849,491523.4198895,-2.943787813186645,-1.159628987312317,-2.4933764934539795,-6.921365261077881,-15.217756271362305,-13.1989107131958,-14.444896697998049,-11.390888214111328,0
1747292634.1307158,491523.4198945,-2.4269046783447266,-0.0333649665117263,-1.8032861948013303,-6.344289302825928,-15.279727935791016,-13.466374397277832,-13.6294584274292,-11.397233963012695,0
1747292634.1307652,491523.4198964,-2.1692609786987305,0.926748514175415,-1.2578309774398804,-6.169094085693359,-14.834896087646484,-13.702324867248535,-12.455652236938477,-10.522346496582031,0
1747292634.1308403,491523.419898,-2.0007729530334477,1.9745076894760127,-0.565014660358429,-6.041542053222656,-13.6307954788208,-13.65121841430664,-11.025923728942873,-8.823882102966309,0
1747292634.130941,491523.4198995,-1.6769717931747437,3.317861557006836,0.581519365310669,-5.489723205566406,-11.619473457336426,-13.187142372131348,-9.504386901855469,-6.541887283325195,0
1747292634.1310067,491523.4199011,-1.1720916032791138,4.855520248413086,2.1558501720428467,-4.394135475158691,-9.16685390472412,-12.501646995544434,-8.201556205749512,-4.134543418884277,0
1747292634.1310472,491523.4199026,-0.8727279305458069,6.074321269989014,3.635432004928589,-3.2257235050201416,-7.046084403991699,-12.091131210327148,-7.570475101470947,-2.2766244411468506,0
1747292634.1311295,491523.4199042,-1.398958683013916,6.30652379989624,4.25099515914917,-2.771174669265747,-6.08214282989502,-12.460859298706056,-8.00759220123291,-1.6455886363983154,0
1747292634.131246,491523.4199059,-3.140833854675293,5.202369689941406,3.48429274559021,-3.550445556640625,-6.666399002075195,-13.749422073364258,-9.558772087097168,-2.5402941703796387,0
1747292634.13133,491523.4199072,-5.922708511352539,3.0145270824432373,1.3939086198806765,-5.426044940948486,-8.546751976013184,-15.601988792419434,-11.80643081665039,-4.661494731903076,0
1747292634.1314125,491523.4199085,-9.088133811950684,0.4605666100978851,-1.4562369585037231,-7.688879013061523,-11.03612995147705,-17.39517593383789,-14.074564933776855,-7.276935577392578,0
1747292634.1315114,491523.4358823,-11.886621475219728,-1.6774529218673706,-4.325890064239502,-9.471503257751465,-13.403008460998535,-18.592187881469727,-15.772239685058594,-9.615364074707031,0
1747292634.1316428,491523.4360462,-13.836827278137209,-2.9095187187194824,-6.63320255279541,-10.174432754516602,-15.167243003845217,-18.96481132507324,-16.61539649963379,-11.189759254455566,0
1747292634.1316798,491523.4360746,-14.869562149047852,-3.199911832809448,-8.156783103942871,-9.73085117340088,-16.230607986450195,-18.634801864624023,-16.671266555786133,-11.93289566040039,0
