sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1747509470.1292443,2942.0405021,18891.78515625,-302686.34375,9856.2255859375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1325543,2942.0464527,26120.787109375,-302794.8125,11355.4912109375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1328495,2942.0464583,16442.30078125,-302785.5,6104.619140625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1329584,2942.0464617,-506.1329345703125,-302726.125,1502.7525634765625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1332057,2942.0464648,1259.4761962890625,-302672.84375,3800.601318359375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.161956,2942.0744425,18987.62890625,-302689.75,9811.8798828125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1643527,2942.0774497,26211.35546875,-302801.0625,11338.951171875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1646194,2942.0774692,16671.451171875,-302796.15625,6103.99365234375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1647525,2942.0774755,-366.12158203125,-302737.125,1479.0596923828125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1648545,2942.0774788,1091.212158203125,-302685.1875,3783.07763671875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1649418,2942.0774826,18813.46484375,-302697.96875,9803.8330078125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.170309,2942.0835515,26164.416015625,-302809.28125,11361.4814453125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1705234,2942.0835571,16646.23828125,-302803.75,6146.37255859375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.170637,2942.0835598,-406.8017578125,-302741.96875,1503.6466064453125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.22744,2942.13945,1006.6332397460938,-302691.0,3770.650146484375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2276351,2942.1394699,18724.236328125,-302705.125,9791.2265625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2278783,2942.1394931,26154.4921875,-302815.8125,11379.630859375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2314048,2942.1435171,16675.83203125,-302811.875,6174.53564453125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.231664,2942.1435668,-421.0174865722656,-302752.0625,1504.630126953125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2319589,2942.1435851,872.7015380859375,-302700.9375,3744.09619140625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.232194,2942.1435962,18598.08203125,-302709.0625,9771.4677734375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.234389,2942.1475626,26130.44140625,-302818.21875,11394.5625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.234719,2942.1476071,16698.005859375,-302814.90625,6208.95751953125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.234987,2942.1476233,-370.23431396484375,-302752.5,1522.511474609375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2396889,2942.1515125,992.0598754882812,-302704.25,3710.3896484375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2401226,2942.1515748,18690.171875,-302716.84375,9727.658203125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2402284,2942.1516014,26223.158203125,-302830.75,11380.615234375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2403154,2942.1516193,16931.267578125,-302827.96875,6212.4443359375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2404058,2942.153793,-203.84791564941406,-302764.5,1501.8585205078125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2405062,2942.153801,873.4168090820312,-302714.875,3686.875732421875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2735548,2942.1854532,18553.46875,-302722.125,9718.3603515625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.273733,2942.1854688,26187.21484375,-302834.59375,11405.1123046875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2738674,2942.1854719,16927.244140625,-302833.4375,6252.05126953125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2740943,2942.1854749,-250.5183563232422,-302769.3125,1520.6339111328125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2742288,2942.1854777,711.7689819335938,-302723.46875,3676.236328125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2743144,2942.1854807,18393.251953125,-302729.625,9709.0615234375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.27743,2942.1895011,26148.591796875,-302843.09375,11427.642578125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2776306,2942.1895097,16918.751953125,-302843.4375,6296.7548828125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.277913,2942.1895128,-225.75262451171875,-302773.53125,1549.512451171875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2813444,2942.1934337,829.1603393554688,-302728.65625,3645.033203125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.2815554,2942.19344,18489.453125,-302734.8125,9662.48046875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.3134277,2942.2254384,26236.8359375,-302845.3125,11411.5498046875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.313657,2942.2254599,17156.841796875,-302845.78125,6301.22509765625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
