sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1747516748.0215013,10219.91957,271762.09375,269961.53125,287916.9375,279808.625,263967.59375,264183.15625,258925.75,267543.96875
1747516748.0219793,10219.9195892,273040.78125,270541.6875,288715.25,280455.3125,264157.40625,264312.96875,259230.890625,267983.65625
1747516748.0221848,10219.9196052,273386.53125,270883.03125,289161.125,280527.28125,264178.9375,264309.40625,259300.453125,268091.5625
1747516748.0224893,10219.9196153,272947.53125,270782.625,289040.96875,280323.96875,264146.9375,264276.125,259329.25,268008.5
1747516748.028707,10219.9196356,271952.78125,270305.46875,288362.09375,279851.71875,264035.28125,264205.6875,259205.5,267694.78125
1747516748.0288432,10219.9196505,271752.78125,269955.25,287941.34375,279802.46875,263964.28125,264179.46875,258933.890625,267549.9375
1747516748.0288987,10219.9196615,273029.78125,270539.4375,288740.84375,280459.0625,264157.5,264318.6875,259243.6875,267995.0
1747516748.0289438,10219.9196661,273384.5625,270887.78125,289188.9375,280542.21875,264187.09375,264321.8125,259321.28125,268110.96875
1747516748.028987,10219.9196689,272943.25,270780.21875,289054.84375,280341.6875,264155.625,264287.3125,259344.078125,268025.78125
1747516748.0290287,10219.9196718,271941.71875,270288.40625,288352.0,279861.03125,264033.46875,264205.15625,259198.703125,267696.5
1747516748.02907,10219.9196748,271737.40625,269929.15625,287911.65625,279804.4375,263956.9375,264174.5625,258916.890625,267541.28125
1747516748.029112,10219.9196778,273025.3125,270513.78125,288711.6875,280468.90625,264157.65625,264318.875,259234.921875,267991.875
1747516748.0291548,10219.9196814,273386.6875,270865.0625,289161.21875,280540.25,264177.6875,264311.0,259300.90625,268096.9375
1747516748.0291965,10219.9196843,272947.09375,270765.03125,289035.96875,280327.625,264140.9375,264272.46875,259316.546875,268003.25
1747516748.1162076,10220.013904,271954.59375,270292.875,288357.375,279856.8125,264032.21875,264204.15625,259186.28125,267684.40625
1747516748.1167793,10220.0140406,271741.875,269933.4375,287926.5,279794.9375,263959.4375,264173.125,258903.046875,267529.75
1747516748.116912,10220.014066,273027.1875,270522.625,288737.4375,280454.59375,264165.4375,264318.15625,259223.109375,267981.875
1747516748.117014,10220.014094,273380.625,270866.3125,289187.34375,280529.53125,264185.375,264313.25,259294.46875,268087.1875
1747516748.1171963,10220.0141179,272937.34375,270758.6875,289054.46875,280320.75,264143.625,264272.8125,259313.421875,267996.34375
